user_id,movie_id,recency_rank
user_001,tt0225196,1
user_001,tt0244709,2
user_001,tt1059786,3
user_001,tt0276033,4
user_001,tt0314170,5
user_002,tt2239832,1
user_002,tt0118715,2
user_002,tt0113451,3
user_002,tt0107985,4
user_002,tt0163978,5
user_003,tt1663143,1
user_003,tt0120696,2
user_003,tt0097240,3
user_003,tt0443701,4
user_003,tt0892318,5
user_004,tt0094739,1
user_004,tt0096320,2
user_004,tt0481369,3
user_004,tt0095583,4
user_004,tt1587707,5
user_005,tt0109190,1
user_005,tt0978759,2
user_005,tt0821442,3
user_005,tt1458175,4
user_005,tt0092843,5
user_006,tt0093186,1
user_006,tt0402595,2
user_006,tt1316616,3
user_006,tt1720172,4
user_006,tt0117438,5
user_007,tt2304459,1
user_007,tt1242460,2
user_007,tt1031562,3
user_007,tt2106739,4
user_007,tt0115472,5
user_008,tt0369672,1
user_008,tt0307479,2
user_008,tt0120670,3
user_008,tt1244659,4
user_008,tt0090567,5
user_009,tt1995260,1
user_009,tt0119237,2
user_009,tt0103859,3
user_009,tt0439815,4
user_009,tt0093315,5
user_010,tt0088146,1
user_010,tt0094208,2
user_010,tt1408101,3
user_010,tt0168786,4
user_010,tt1433905,5
user_011,tt0120685,1
user_011,tt0115645,2
user_011,tt0376994,3
user_011,tt0433412,4
user_011,tt0097044,5
user_012,tt0096425,1
user_012,tt0089003,2
user_012,tt1394192,3
user_012,tt0110363,4
user_012,tt2130282,5
user_013,tt0085387,1
user_013,tt1031562,2
user_013,tt0109493,3
user_013,tt0096324,4
user_013,tt0093315,5
user_014,tt1059786,1
user_014,tt0105807,2
user_014,tt0089886,3
user_014,tt0235737,4
user_014,tt0427089,5
user_015,tt0115509,1
user_015,tt0427089,2
user_015,tt0099699,3
user_015,tt0166924,4
user_015,tt0168172,5
user_016,tt0110657,1
user_016,tt1174732,2
user_016,tt0201485,3
user_016,tt0099012,4
user_016,tt1133993,5
user_017,tt0102943,1
user_017,tt0119116,2
user_017,tt0086006,3
user_017,tt1582248,4
user_017,tt0159421,5
user_018,tt1629376,1
user_018,tt0458352,2
user_018,tt0120873,3
user_018,tt0111333,4
user_018,tt0245120,5
user_019,tt0110322,1
user_019,tt1054588,2
user_019,tt0248169,3
user_019,tt1212909,4
user_019,tt0158371,5
user_020,tt0109190,1
user_020,tt0427392,2
user_020,tt0951216,3
user_020,tt0115963,4
user_020,tt0092112,5
user_021,tt2762334,1
user_021,tt0204946,2
user_021,tt1212909,3
user_021,tt0417614,4
user_021,tt1535421,5
user_022,tt1588173,1
user_022,tt0120616,2
user_022,tt0192111,3
user_022,tt0090713,4
user_022,tt0102492,5
user_023,tt0248126,1
user_023,tt0114496,2
user_023,tt0181151,3
user_023,tt0119152,4
user_023,tt0118859,5
user_024,tt0096324,1
user_024,tt0098513,2
user_024,tt0997047,3
user_024,tt0099731,4
user_024,tt0089839,5
user_025,tt0424823,1
user_025,tt0245562,2
user_025,tt1034032,3
user_025,tt0086361,4
user_025,tt1155076,5
user_026,tt0758766,1
user_026,tt2094890,2
user_026,tt0102493,3
user_026,tt0116508,4
user_026,tt0086006,5
user_027,tt0099699,1
user_027,tt1663143,2
user_027,tt0758766,3
user_027,tt0167427,4
user_027,tt0293342,5
user_028,tt0111693,1
user_028,tt0283503,2
user_028,tt0107613,3
user_028,tt2209418,4
user_028,tt0086985,5
user_029,tt0264150,1
user_029,tt1253864,2
user_029,tt2212008,3
user_029,tt2387433,4
user_029,tt1041753,5
user_030,tt0107290,1
user_030,tt0462395,2
user_030,tt0090927,3
user_030,tt0116705,4
user_030,tt2083355,5
user_031,tt1027862,1
user_031,tt0250282,2
user_031,tt0161100,3
user_031,tt1336608,4
user_031,tt0099594,5
user_032,tt0373746,1
user_032,tt3060492,2
user_032,tt0101371,3
user_032,tt0119644,4
user_032,tt0090934,5
user_033,tt0204946,1
user_033,tt0089003,2
user_033,tt1477855,3
user_033,tt0109454,4
user_033,tt0094142,5
user_034,tt0314170,1
user_034,tt1690953,2
user_034,tt2762334,3
user_034,tt0225071,4
user_034,tt0090264,5
user_035,tt0297181,1
user_035,tt0431308,2
user_035,tt0422720,3
user_035,tt0098260,4
user_035,tt0385726,5
user_036,tt0115725,1
user_036,tt0118771,2
user_036,tt0100680,3
user_036,tt0116705,4
user_036,tt0112887,5
user_037,tt2124074,1
user_037,tt0089421,2
user_037,tt1549920,3
user_037,tt0936471,4
user_037,tt0091055,5
user_038,tt0120873,1
user_038,tt0760160,2
user_038,tt0096425,3
user_038,tt3210686,4
user_038,tt0164221,5
user_039,tt0117119,1
user_039,tt0190590,2
user_039,tt0433412,3
user_039,tt1622547,4
user_039,tt0085995,5
user_040,tt0114781,1
user_040,tt1821549,2
user_040,tt0107322,3
user_040,tt0102048,4
user_040,tt0105156,5
user_041,tt0115645,1
user_041,tt0264150,2
user_041,tt0814005,3
user_041,tt0200465,4
user_041,tt0119528,5
user_042,tt0102493,1
user_042,tt2435458,2
user_042,tt0120207,3
user_042,tt1070858,4
user_042,tt1858776,5
user_043,tt1255951,1
user_043,tt0094072,2
user_043,tt0098188,3
user_043,tt0120679,4
user_043,tt0098659,5
user_044,tt0094208,1
user_044,tt0265029,2
user_044,tt0117951,3
user_044,tt0368580,4
user_044,tt0108122,5
user_045,tt0102719,1
user_045,tt0110759,2
user_045,tt0109493,3
user_045,tt0427392,4
user_045,tt0092718,5
user_046,tt0095186,1
user_046,tt0086541,2
user_046,tt0499554,3
user_046,tt0091164,4
user_046,tt0380277,5
user_047,tt0099512,1
user_047,tt0097457,2
user_047,tt0104541,3
user_047,tt0109578,4
user_047,tt2706264,5
user_048,tt1059786,1
user_048,tt0098282,2
user_048,tt0113481,3
user_048,tt1213574,4
user_048,tt1605717,5
user_049,tt0104114,1
user_049,tt0144715,2
user_049,tt0286947,3
user_049,tt0780595,4
user_049,tt0120685,5
user_050,tt0093626,1
user_050,tt0104897,2
user_050,tt0362478,3
user_050,tt0433442,4
user_050,tt1277953,5
user_051,tt3957716,1
user_051,tt0206634,2
user_051,tt1687281,3
user_051,tt0099731,4
user_051,tt0246002,5
user_052,tt0094304,1
user_052,tt0099327,2
user_052,tt0110364,3
user_052,tt0120710,4
user_052,tt1790886,5
user_053,tt0134630,1
user_053,tt0206634,2
user_053,tt0101761,3
user_053,tt0091939,4
user_053,tt0088846,5
user_054,tt0131857,1
user_054,tt0372873,2
user_054,tt2545118,3
user_054,tt0465234,4
user_054,tt0163978,5
user_055,tt0489281,1
user_055,tt0283426,2
user_055,tt0120301,3
user_055,tt0422720,4
user_055,tt0120685,5
user_056,tt0385726,1
user_056,tt1582248,2
user_056,tt0090180,3
user_056,tt0092843,4
user_056,tt0490210,5
user_057,tt0790804,1
user_057,tt0098022,2
user_057,tt0217351,3
user_057,tt0311648,4
user_057,tt0086985,5
user_058,tt0109578,1
user_058,tt0416185,2
user_058,tt0116629,3
user_058,tt0433412,4
user_058,tt0275491,5
user_059,tt0138097,1
user_059,tt0115837,2
user_059,tt1415283,3
user_059,tt1127877,4
user_059,tt0096320,5
user_060,tt1049405,1
user_060,tt0119644,2
user_060,tt2765340,3
user_060,tt1142988,4
user_060,tt0098188,5
user_061,tt0094021,1
user_061,tt0416185,2
user_061,tt1253864,3
user_061,tt0097499,4
user_061,tt0099012,5
user_062,tt0265029,1
user_062,tt2404555,2
user_062,tt0102744,3
user_062,tt0104802,4
user_062,tt0106873,5
user_063,tt0472181,1
user_063,tt0107818,2
user_063,tt0446755,3
user_063,tt0097937,4
user_063,tt0092074,5
user_064,tt0088146,1
user_064,tt1978480,2
user_064,tt0118556,3
user_064,tt0811137,4
user_064,tt0270417,5
user_065,tt0105480,1
user_065,tt0283503,2
user_065,tt0245562,3
user_065,tt2582802,4
user_065,tt1918965,5
user_066,tt0116823,1
user_066,tt2106739,2
user_066,tt0089601,3
user_066,tt0326900,4
user_066,tt0255819,5
user_067,tt0117898,1
user_067,tt0402595,2
user_067,tt0481797,3
user_067,tt0104897,4
user_067,tt0464141,5
user_068,tt0090209,1
user_068,tt0250282,2
user_068,tt0109707,3
user_068,tt0087755,4
user_068,tt0936471,5
user_069,tt0085382,1
user_069,tt0327554,2
user_069,tt2765340,3
user_069,tt0093828,4
user_069,tt0124879,5
user_070,tt0826547,1
user_070,tt0446755,2
user_070,tt0095274,3
user_070,tt0109190,4
user_070,tt1039903,5
user_071,tt0118929,1
user_071,tt0166924,2
user_071,tt0103772,3
user_071,tt2278871,4
user_071,tt0094889,5
user_072,tt0112819,1
user_072,tt0357585,2
user_072,tt0423294,3
user_072,tt0490196,4
user_072,tt0891527,5
user_073,tt0330069,1
user_073,tt0119349,2
user_073,tt0419946,3
user_073,tt0804516,4
user_073,tt0331953,5
user_074,tt0096320,1
user_074,tt1153690,2
user_074,tt1222817,3
user_074,tt0120271,4
user_074,tt0090927,5
user_075,tt0275491,1
user_075,tt0302886,2
user_075,tt0102713,3
user_075,tt0117688,4
user_075,tt0094890,5
user_076,tt0134983,1
user_076,tt0419946,2
user_076,tt0095047,3
user_076,tt0956038,4
user_076,tt0120710,5
user_077,tt0213203,1
user_077,tt0091630,2
user_077,tt0270417,3
user_077,tt0425112,4
user_077,tt0102592,5
user_078,tt0464141,1
user_078,tt0293342,2
user_078,tt0147004,3
user_078,tt0244709,4
user_078,tt0120383,5
user_079,tt1690953,1
user_079,tt0109021,2
user_079,tt0947810,3
user_079,tt0108473,4
user_079,tt0097507,5
user_080,tt0298148,1
user_080,tt0824375,2
user_080,tt0246578,3
user_080,tt0273923,4
user_080,tt0164221,5
user_081,tt0119013,1
user_081,tt0477392,2
user_081,tt0102048,3
user_081,tt0086541,4
user_081,tt0347332,5
user_082,tt0109593,1
user_082,tt0265148,2
user_082,tt0122933,3
user_082,tt0105156,4
user_082,tt0118715,5
user_083,tt0091554,1
user_083,tt1042877,2
user_083,tt0097328,3
user_083,tt0114576,4
user_083,tt1860353,5
user_084,tt0118836,1
user_084,tt0110363,2
user_084,tt1535438,3
user_084,tt1277953,4
user_084,tt0116908,5
user_085,tt0096324,1
user_085,tt0832266,2
user_085,tt0103859,3
user_085,tt0245120,4
user_085,tt0116705,5
user_086,tt0099327,1
user_086,tt0089421,2
user_086,tt1894476,3
user_086,tt2545118,4
user_086,tt0951216,5
user_087,tt0093186,1
user_087,tt1533749,2
user_087,tt1787988,3
user_087,tt1641624,4
user_087,tt1598778,5
user_088,tt0402595,1
user_088,tt0113492,2
user_088,tt0113089,3
user_088,tt1166100,4
user_088,tt0976222,5
user_089,tt0484740,1
user_089,tt0099938,2
user_089,tt1713476,3
user_089,tt0295238,4
